title,author_name,author_url,publication_date,description,category,image_url,url,country,content_preview,extractor,lang,content,source
"Prolongé pour la 82e fois en RDC, l’état de siège ne convainc pas",,,2024-01-25,"Instaurée par Félix Tshisekedi en 2021 pour endiguer la violence en Ituri et dans le Nord-Kivu, la mesure n’a pas fait la preuve de son efficacité. Elle vient pourtant d’être de nouveau reconduite, sans débat, au grand dam des élus de l’Est.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/25/jad20240925-ass-rdc-ituri-etat-urgence.jpg",https://www.jeuneafrique.com/1612406/politique/prolonge-pour-la-82e-fois-en-rdc-letat-de-siege-ne-convainc-pas/,democratic republic of the congo,,jeuneafrique,fr,,
"Turhan Mildon (Miller) : « Depuis trois ans que je suis en RDC, je n’ai pas sorti un seul dollar de ce pays »",,,2024-01-16,"L’INTERVIEW ÉCO – Déjà présent au Sénégal, au Ghana, au Liberia, en Tanzanie et surtout en RDC, le conglomérat turc Miller poursuit son expansion en Afrique, en privilégiant le contenu local, les contrats BOT et la prise de risque. Entretien avec son directeur général.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5590x0.4253/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/13/jad20240913-interview-eco-turhan-miller-1.jpg",https://www.jeuneafrique.com/1608712/economie-entreprises/turhan-mildon-miller-depuis-trois-ans-que-je-suis-en-rdc-je-nai-pas-sorti-un-seul-dollar-de-ce-pays/,democratic republic of the congo,,jeuneafrique,fr,,
"Gaza, Yémen et Somaliland : ce qu’il faut retenir de l’interview d’Ismaïl Omar Guelleh",,,2024-01-11,"La guerre menée par Israël à Gaza relève du « génocide », a jugé le président djiboutien lors de l’entretien qu’il a accordé à François Soudan. Le directeur de la rédaction de Jeune Afrique revient sur cette interview au micro de RFI.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/03/11/sdja-fs-djibouti.jpg",https://www.jeuneafrique.com/1545925/politique/gaza-yemen-et-somaliland-ce-quil-faut-retenir-de-linterview-dismail-omar-guelleh/,djibouti,,jeuneafrique,fr,,
"L’aéroport éthiopien d’Axoum, dans le Tigré, a rouvert après plus de trois ans de fermeture",,,2024-01-09,"Il avait subi de « lourds dommages » dès le début de la guerre dans la province. L’aéroport d’Axoum va opérer, à partir de ce dimanche, des vols commerciaux « réguliers ».",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.7267x0.5024/https://prod.cdn-medias.jeuneafrique.com/medias/2023/03/31/jad20230331-eco-ethiopian-airlines.jpg",https://www.jeuneafrique.com/1575546/economie-entreprises/laeroport-ethiopien-daxoum-dans-le-tigre-a-rouvert-apres-plus-de-trois-ans-de-fermeture/,ethiopia,,jeuneafrique,fr,,
Le journaliste français détenu en Éthiopie a été libéré,,,2024-01-01,Antoine Galindo avait été arrêté en marge du sommet de l’Union africaine. Il était soupçonné d’entretenir des liens avec des groupes séparatistes classés terroristes par Addis-Abeba.,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/02/26/jad20240226-ass-ethiopie-france-arrestation-journaliste-antoine-galindo.jpg",https://www.jeuneafrique.com/1543041/politique/le-journaliste-francais-detenu-en-ethiopie-a-ete-libere/,ethiopia,,jeuneafrique,fr,,
Eswatini : le roi Mswati III soupçonné d’avoir fui le pays en pleine révolte pro-démocratie,,,2021-01-30,"Le royaume d’Eswatini, dernière monarchie absolue d’Afrique, a annoncé mardi l’instauration d’un couvre-feu tandis que l’armée a été déployée pour réprimer des manifestations pro-démocratie. Le roi est accusé d’avoir fui le pays.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2021/06/30/sipa_ap22581418_000002.jpg",https://www.jeuneafrique.com/1196240/politique/eswatini-le-roi-mswati-iii-soupconne-davoir-fui-le-pays-en-pleine-revolte-pro-democratie/,zimbabwe,,jeuneafrique,fr,,
"Le Hezbollah confirme la mort de son chef, Hassan Nasrallah",,,2024-01-28,L’armée israélienne a déclaré avoir « éliminé » Hassan Nasrallah dans une frappe sur le QG du mouvement chiite libanais à Beyrouth le vendredi 27 septembre. Une disparition confirmée ce samedi par le Hezbollah.,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.6078x0.4815/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/28/hezbollah.jpg",https://www.jeuneafrique.com/1614836/politique/israel-annonce-avoir-tue-le-chef-du-hezbollah-hassan-nasrallah/,tunisia,,jeuneafrique,fr,,
"Avec Lula, le Brésil retrouve ses ambitions africaines",,,2024-01-25,"Patrice Talon effectue une visite officielle de quatre jours au Brésil jusqu’au 26 mai. Le président béninois est le premier chef d’État africain à s’y rendre depuis le retour au pouvoir de Lula, en 2022. Tout un symbole.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.7639x0.3724/https://prod.cdn-medias.jeuneafrique.com/medias/2024/05/24/jad20240524-ass-benin-bresil-talon-lula.jpg",https://www.jeuneafrique.com/1571247/politique/avec-lula-le-bresil-retrouve-ses-ambitions-africaines/,benin,,jeuneafrique,fr,,
Législatives en Gambie : le parti d’Adama Barrow remporte une courte victoire,,,2022-01-10,"Le parti du président gambien devrait être obligé de forger une coalition pour gouverner, indiquent les résultats des élections législatives publiés dimanche.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2022/04/10/1ih66p-highres.jpg",https://www.jeuneafrique.com/1337665/politique/legislatives-en-gambie-le-parti-dadama-barrow-remporte-une-courte-victoire/,gambia,,jeuneafrique,fr,,
Focac : Assimi Goïta et Sadio Camara à Pékin pour consolider le partenariat avec la Chine,,,2024-01-04,"En voyage en Chine pour le Forum de coopération sino-africaine (Focac), le chef de la transition malienne a multiplié les visites auprès d’entreprises chinoises avec, en ligne de mire, le renforcement des partenariats dans les domaines de l’énergie et de l’armement.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.4433x0.4844/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/04/jad20240904-ass-mali-chine-goita.jpg",https://www.jeuneafrique.com/1604814/politique/focac-assimi-goita-et-sadio-camara-a-pekin-pour-consolider-le-partenariat-avec-la-chine/,nigeria,,jeuneafrique,fr,,
Le calvaire de deux Sud-Africains emprisonnés depuis 500 jours en Guinée équatoriale,,,2024-01-25,Les familles de Frederik Potgieter et Peter Huxham tentent d’obtenir le soutien du Parlement panafricain pour obtenir la libération de ces deux ingénieurs arrêtés le 9 février 2023.,,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/06/25/jad-ass-guinee-equatoriale-afrique-du-sud-prisonniers.jpg",https://www.jeuneafrique.com/1581193/politique/le-calvaire-de-deux-sud-africains-emprisonnes-depuis-500-jours-en-guinee-equatoriale/,chad,,jeuneafrique,fr,,
Présidentielle rwandaise : la stabilité est le principal enjeu de l’élection,,,2024-01-15,"Paul Kagame devrait être élu ce 15 juillet pour un quatrième mandat à la tête du Rwanda. Pour Yann Gwet, dans un pays qui ne peut se permettre le luxe de l’instabilité, les citoyens valident le choix d’accorder la priorité à la réduction de la pauvreté et à la réconciliation nationale.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/07/12/jad20240712-tribune-rwanda-presidentielle.jpg",https://www.jeuneafrique.com/1587595/politique/presidentielle-rwandaise-la-stabilite-est-le-principal-enjeu-de-lelection/,rwanda,,jeuneafrique,fr,,
"Ndriana Razanamasy, le « fils de » à la conquête d’Antananarivo",,,2024-01-29,"Alors que la candidature de l’ancien président Marc Ravalomanana à la mairie d’Antananarivo a été rejetée, le fils de l’ex-Premier ministre Guy Willy Razanamasy est l’un des favoris pour le fauteuil.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/27/jad20240927-ass-madagascar-ndrina-razanamasy.jpg",https://www.jeuneafrique.com/1613630/politique/ndriana-razanamasy-le-fils-de-a-la-conquete-dantananarivo/,madagascar,,jeuneafrique,fr,,
Dette : pourquoi la Zambie est un exemple à suivre,,,2023-01-07,"Le ministre zambien des Finances, Situmbeko Musokotwane, revient sur les conditions qui ont permis la signature d’un accord entre Lusaka et ses créanciers, espérant que ce processus puisse faire des émules.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover,gravity=0.5000x0.5000/https://prod.cdn-medias.jeuneafrique.com/medias/2023/08/07/jad20230807-tribune-zambie-dette-exemple.jpg",https://www.jeuneafrique.com/1470408/economie-entreprises/dette-pourquoi-la-zambie-est-un-exemple-a-suivre/,zambia,,jeuneafrique,fr,,
Swaziland : le roi dissout le Parlement avant les élections de septembre,,,2013-01-03,"Le roi du Swaziland Mswati III a annoncé vendredi la dissolution du Parlement dans la perspective des élections du 20 septembre, alors que la plupart des opposants appellent au boycott d’un scrutin qu’ils considèrent comme une mascarade.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2013/08/03/003082013105744000000swazi.jpg",https://www.jeuneafrique.com/149681/archives-thematique/swaziland-le-roi-dissout-le-parlement-avant-les-lections-de-septembre/,zimbabwe,,jeuneafrique,fr,,
"En Algérie, un jour de vote sans enjeu après une campagne présidentielle verrouillée",,,2024-01-07,"Ce samedi 7 septembre, les Algériens sont appelés aux urnes pour élire leur président. Un scrutin sous contrôle et sans grand suspense : depuis le 21 mars et la décision d’Abdelmadjid Tebboune d’avancer la date de l’élection, la seule issue semble être la reconduction du chef de l’État sortant.",,"https://prod.cdn-medias.jeuneafrique.com/cdn-cgi/image/q=auto,f=auto,metadata=none,width=300,height=200,fit=cover/https://prod.cdn-medias.jeuneafrique.com/medias/2024/09/06/jad20240906-mmo-algerie-presidentielle-premier-tour-bilan.jpg",https://www.jeuneafrique.com/1606151/politique/en-algerie-un-jour-de-vote-sans-enjeu-apres-une-campagne-presidentielle-verrouillee/,algeria,,jeuneafrique,fr,,
